Episode no = 100; won: False; iter_time_steps = 29; Q(s,a) = -0.7007738802673569; score = -508.0; mean_score/100_episodes = -461.72; reward = -506.0; mean_reward/100_episodes = -452.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-20 14:29:25
Episode no = 1200; won: False; iter_time_steps = 145; Q(s,a) = 43.488547983539966; score = -364.0; mean_score/100_episodes = -408.8; reward = -336.0; mean_reward/100_episodes = -402.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-20 14:37:53
Episode no = 1300; won: False; iter_time_steps = 16; Q(s,a) = 49.19049094926667; score = -485.0; mean_score/100_episodes = -402.07; reward = -493.0; mean_reward/100_episodes = -392.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-20 14:38:39
Episode no = 1400; won: False; iter_time_steps = 66; Q(s,a) = 48.75093256982389; score = -405.0; mean_score/100_episodes = -394.0; reward = -389.0; mean_reward/100_episodes = -378.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-20 14:39:24
Episode no = 1500; won: False; iter_time_steps = 94; Q(s,a) = 62.496089220617655; score = -343.0; mean_score/100_episodes = -398.64; reward = -307.0; mean_reward/100_episodes = -388.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-20 14:40:12
Episode no = 1600; won: False; iter_time_steps = 247; Q(s,a) = 71.25173545880578; score = -356.0; mean_score/100_episodes = -403.0; reward = -317.0; mean_reward/100_episodes = -388.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-20 14:40:51
Episode no = 1700; won: False; iter_time_steps = 21; Q(s,a) = 76.27599782387456; score = -440.0; mean_score/100_episodes = -388.78; reward = -443.0; mean_reward/100_episodes = -372.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-20 14:41:34
Episode no = 1800; won: False; iter_time_steps = 48; Q(s,a) = 79.51077077120034; score = -407.0; mean_score/100_episodes = -393.4; reward = -393.0; mean_reward/100_episodes = -377.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-20 14:42:14
Episode no = 1900; won: False; iter_time_steps = 115; Q(s,a) = 87.23886601319448; score = -134.0; mean_score/100_episodes = -364.19; reward = -86.0; mean_reward/100_episodes = -349.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-20 14:43:03
Episode no = 2000; won: False; iter_time_steps = 85; Q(s,a) = 91.06994795254843; score = -414.0; mean_score/100_episodes = -359.22; reward = -397.0; mean_reward/100_episodes = -351.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-20 14:43:54
Episode no = 2100; won: False; iter_time_steps = 74; Q(s,a) = 97.81215862281711; score = -253.0; mean_score/100_episodes = -365.68; reward = -221.0; mean_reward/100_episodes = -352.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-20 14:44:35
Episode no = 2200; won: False; iter_time_steps = 85; Q(s,a) = 97.86249566367721; score = -304.0; mean_score/100_episodes = -335.44; reward = -276.0; mean_reward/100_episodes = -328.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-20 14:45:23
Episode no = 2300; won: False; iter_time_steps = 35; Q(s,a) = 105.62738324745432; score = -394.0; mean_score/100_episodes = -322.36; reward = -380.0; mean_reward/100_episodes = -313.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-20 14:46:15
Episode no = 2400; won: False; iter_time_steps = 17; Q(s,a) = 110.42478688637249; score = -396.0; mean_score/100_episodes = -359.68; reward = -384.0; mean_reward/100_episodes = -341.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-20 14:47:03
Episode no = 2500; won: False; iter_time_steps = 99; Q(s,a) = 113.37655816041996; score = -398.0; mean_score/100_episodes = -354.29; reward = -378.0; mean_reward/100_episodes = -339.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-20 14:47:45
Episode no = 2600; won: False; iter_time_steps = 77; Q(s,a) = 117.50022744785173; score = -346.0; mean_score/100_episodes = -311.96; reward = -334.0; mean_reward/100_episodes = -301.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-20 14:48:33
Episode no = 2700; won: False; iter_time_steps = 47; Q(s,a) = 121.56047554923728; score = -366.0; mean_score/100_episodes = -298.56; reward = -348.0; mean_reward/100_episodes = -287.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-20 14:49:28
Episode no = 2800; won: False; iter_time_steps = 41; Q(s,a) = 124.00591283866358; score = -370.0; mean_score/100_episodes = -308.78; reward = -353.0; mean_reward/100_episodes = -299.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-20 14:50:15
Episode no = 2900; won: False; iter_time_steps = 49; Q(s,a) = 128.6505343838927; score = -278.0; mean_score/100_episodes = -314.75; reward = -262.0; mean_reward/100_episodes = -305.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-20 14:51:01
Episode no = 3000; won: False; iter_time_steps = 126; Q(s,a) = 132.63236649031583; score = -205.0; mean_score/100_episodes = -280.55; reward = -152.0; mean_reward/100_episodes = -269.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-20 14:51:52
Episode no = 3100; won: False; iter_time_steps = 138; Q(s,a) = 135.30237353794365; score = -307.0; mean_score/100_episodes = -266.42; reward = -274.0; mean_reward/100_episodes = -273.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-20 14:52:42
Episode no = 3200; won: False; iter_time_steps = 16; Q(s,a) = 137.50248372064328; score = -445.0; mean_score/100_episodes = -287.16; reward = -438.0; mean_reward/100_episodes = -274.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-20 14:53:31
Episode no = 3300; won: False; iter_time_steps = 19; Q(s,a) = 141.8017332595714; score = -428.0; mean_score/100_episodes = -254.07; reward = -430.0; mean_reward/100_episodes = -265.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-20 14:54:17
Episode no = 3400; won: False; iter_time_steps = 82; Q(s,a) = 144.55311574649596; score = -281.0; mean_score/100_episodes = -227.96; reward = -240.0; mean_reward/100_episodes = -238.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-20 14:55:15
Episode no = 3500; won: False; iter_time_steps = 89; Q(s,a) = 147.65167962191018; score = -148.0; mean_score/100_episodes = -266.73; reward = -104.0; mean_reward/100_episodes = -264.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-20 14:56:09
Episode no = 3600; won: False; iter_time_steps = 106; Q(s,a) = 150.0233018189726; score = -155.0; mean_score/100_episodes = -259.37; reward = -110.0; mean_reward/100_episodes = -249.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-20 14:56:57
Episode no = 3700; won: False; iter_time_steps = 69; Q(s,a) = 151.42438465586883; score = -338.0; mean_score/100_episodes = -255.16; reward = -315.0; mean_reward/100_episodes = -257.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-20 14:57:52
Episode no = 3800; won: False; iter_time_steps = 77; Q(s,a) = 154.7910892139073; score = -86.0; mean_score/100_episodes = -233.92; reward = -37.0; mean_reward/100_episodes = -226.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-20 14:58:38
Episode no = 3900; won: False; iter_time_steps = 45; Q(s,a) = 156.385941411694; score = -244.0; mean_score/100_episodes = -186.87; reward = -203.0; mean_reward/100_episodes = -185.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-20 14:59:41
Episode no = 4000; won: False; iter_time_steps = 51; Q(s,a) = 157.8866436958415; score = -220.0; mean_score/100_episodes = -224.9; reward = -176.0; mean_reward/100_episodes = -222.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-20 15:00:33
Episode no = 4100; won: False; iter_time_steps = 134; Q(s,a) = 160.29025859479435; score = -263.0; mean_score/100_episodes = -200.46; reward = -226.0; mean_reward/100_episodes = -204.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-20 15:01:34
Episode no = 4200; won: False; iter_time_steps = 39; Q(s,a) = 161.95019536556146; score = -358.0; mean_score/100_episodes = -213.61; reward = -340.0; mean_reward/100_episodes = -223.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-20 15:02:24
Episode no = 4300; won: False; iter_time_steps = 123; Q(s,a) = 163.46327412586615; score = -102.0; mean_score/100_episodes = -223.97; reward = -50.0; mean_reward/100_episodes = -210.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-20 15:03:20
Episode no = 4400; won: False; iter_time_steps = 25; Q(s,a) = 164.56989201636267; score = -354.0; mean_score/100_episodes = -257.77; reward = -337.0; mean_reward/100_episodes = -242.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-20 15:04:06
Episode no = 4500; won: False; iter_time_steps = 30; Q(s,a) = 167.33941511426772; score = -339.0; mean_score/100_episodes = -240.89; reward = -320.0; mean_reward/100_episodes = -235.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-20 15:04:49
Episode no = 4600; won: False; iter_time_steps = 188; Q(s,a) = 167.80527084626996; score = -147.0; mean_score/100_episodes = -234.07; reward = -273.0; mean_reward/100_episodes = -226.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-20 15:05:32
Episode no = 4700; won: False; iter_time_steps = 41; Q(s,a) = 169.22383858930627; score = -280.0; mean_score/100_episodes = -163.11; reward = -243.0; mean_reward/100_episodes = -181.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-20 15:06:26
Episode no = 4800; won: False; iter_time_steps = 200; Q(s,a) = 171.06050066529275; score = -99.0; mean_score/100_episodes = -195.2; reward = -39.0; mean_reward/100_episodes = -196.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-20 15:07:16
Episode no = 4900; won: False; iter_time_steps = 250; Q(s,a) = 172.97908187506826; score = 121.0; mean_score/100_episodes = -138.28; reward = 208.0; mean_reward/100_episodes = -145.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-20 15:08:34
Episode no = 5000; won: False; iter_time_steps = 95; Q(s,a) = 173.68742726332235; score = 166.0; mean_score/100_episodes = -155.11; reward = -96.0; mean_reward/100_episodes = -165.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-20 15:09:32
Episode no = 5100; won: False; iter_time_steps = 102; Q(s,a) = 174.73914001039978; score = -131.0; mean_score/100_episodes = -131.75; reward = -84.0; mean_reward/100_episodes = -148.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.01, 2024-12-20 15:10:30
Episode no = 5200; won: False; iter_time_steps = 15; Q(s,a) = 174.7702716837204; score = -414.0; mean_score/100_episodes = -130.99; reward = -415.0; mean_reward/100_episodes = -131.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.01, 2024-12-20 15:11:34
Episode no = 5300; won: False; iter_time_steps = 9; Q(s,a) = 176.36269762475766; score = -428.0; mean_score/100_episodes = -157.42; reward = -420.0; mean_reward/100_episodes = -146.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.01, 2024-12-20 15:12:33
Episode no = 5400; won: False; iter_time_steps = 97; Q(s,a) = 177.55171409134485; score = -46.0; mean_score/100_episodes = -139.7; reward = 9.0; mean_reward/100_episodes = -142.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-20 15:13:33
Episode no = 5500; won: False; iter_time_steps = 80; Q(s,a) = 179.09775222859125; score = -99.0; mean_score/100_episodes = -153.55; reward = -62.0; mean_reward/100_episodes = -146.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-20 15:14:32
Episode no = 5600; won: False; iter_time_steps = 73; Q(s,a) = 179.00829442771118; score = 98.0; mean_score/100_episodes = -127.58; reward = -15.0; mean_reward/100_episodes = -120.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-20 15:15:36
Episode no = 5700; won: False; iter_time_steps = 88; Q(s,a) = 179.82043658662826; score = -207.0; mean_score/100_episodes = -14.39; reward = -169.0; mean_reward/100_episodes = -36.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.01, 2024-12-20 15:17:02
Episode no = 5800; won: False; iter_time_steps = 51; Q(s,a) = 181.65382819496782; score = -180.0; mean_score/100_episodes = -74.27; reward = -132.0; mean_reward/100_episodes = -92.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-20 15:18:05
Episode no = 5900; won: False; iter_time_steps = 87; Q(s,a) = 181.54508251082626; score = -246.0; mean_score/100_episodes = -86.81; reward = -212.0; mean_reward/100_episodes = -96.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.01, 2024-12-20 15:19:09
Episode no = 6000; won: False; iter_time_steps = 15; Q(s,a) = 182.5848494191638; score = -424.0; mean_score/100_episodes = -89.16; reward = -404.0; mean_reward/100_episodes = -107.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-20 15:20:11
Episode no = 6100; won: False; iter_time_steps = 168; Q(s,a) = 183.51783925882216; score = 163.0; mean_score/100_episodes = -48.81; reward = 77.0; mean_reward/100_episodes = -89.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.01, 2024-12-20 15:21:16
Episode no = 6200; won: False; iter_time_steps = 148; Q(s,a) = 185.38553982243633; score = 113.0; mean_score/100_episodes = -117.02; reward = 178.0; mean_reward/100_episodes = -125.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-20 15:22:21
Episode no = 6300; won: False; iter_time_steps = 67; Q(s,a) = 184.17723709259326; score = -156.0; mean_score/100_episodes = -29.19; reward = -115.0; mean_reward/100_episodes = -62.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.02, 2024-12-20 15:23:34
Episode no = 6400; won: False; iter_time_steps = 46; Q(s,a) = 185.02410320515708; score = -155.0; mean_score/100_episodes = -51.47; reward = -116.0; mean_reward/100_episodes = -83.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-20 15:24:38
Episode no = 6500; won: False; iter_time_steps = 38; Q(s,a) = 185.47695051747814; score = -37.0; mean_score/100_episodes = -71.2; reward = -178.0; mean_reward/100_episodes = -89.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-20 15:25:54
Episode no = 6600; won: False; iter_time_steps = 25; Q(s,a) = 186.76570468782472; score = -304.0; mean_score/100_episodes = -51.18; reward = -282.0; mean_reward/100_episodes = -90.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.02, 2024-12-20 15:26:58
Episode no = 6700; won: False; iter_time_steps = 44; Q(s,a) = 187.23763439570877; score = 177.0; mean_score/100_episodes = 65.03; reward = -111.0; mean_reward/100_episodes = 18.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.03, 2024-12-20 15:28:24
Episode no = 6800; won: False; iter_time_steps = 129; Q(s,a) = 187.85034310120858; score = 232.0; mean_score/100_episodes = -25.99; reward = -31.0; mean_reward/100_episodes = -63.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:29:46
Episode no = 6900; won: False; iter_time_steps = 104; Q(s,a) = 188.49186165214272; score = 77.0; mean_score/100_episodes = 44.01; reward = 145.0; mean_reward/100_episodes = -6.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:31:08
Episode no = 7000; won: False; iter_time_steps = 338; Q(s,a) = 189.14223497353504; score = 723.0; mean_score/100_episodes = 70.03; reward = 361.0; mean_reward/100_episodes = 16.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:32:37
Episode no = 7100; won: False; iter_time_steps = 151; Q(s,a) = 189.62930379597296; score = -70.0; mean_score/100_episodes = -24.67; reward = -12.0; mean_reward/100_episodes = -45.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:33:57
Episode no = 7200; won: False; iter_time_steps = 81; Q(s,a) = 189.58394799628897; score = -100.0; mean_score/100_episodes = -31.11; reward = -52.0; mean_reward/100_episodes = -51.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-20 15:35:09
Episode no = 7300; won: False; iter_time_steps = 107; Q(s,a) = 189.60413633872096; score = 144.0; mean_score/100_episodes = -30.95; reward = 50.0; mean_reward/100_episodes = -59.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-20 15:36:28
Episode no = 7400; won: False; iter_time_steps = 82; Q(s,a) = 190.13022272121194; score = 19.0; mean_score/100_episodes = -36.88; reward = 79.0; mean_reward/100_episodes = -53.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-20 15:37:38
Episode no = 7500; won: False; iter_time_steps = 139; Q(s,a) = 190.61150522793758; score = 392.0; mean_score/100_episodes = -23.01; reward = 326.0; mean_reward/100_episodes = -54.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-20 15:38:54
Episode no = 7600; won: False; iter_time_steps = 133; Q(s,a) = 190.9373535897348; score = 58.0; mean_score/100_episodes = -74.6; reward = 127.0; mean_reward/100_episodes = -73.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:40:05
Episode no = 7700; won: False; iter_time_steps = 41; Q(s,a) = 190.95673270571075; score = -250.0; mean_score/100_episodes = -63.1; reward = -221.0; mean_reward/100_episodes = -93.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 15:41:22
Episode no = 7800; won: False; iter_time_steps = 15; Q(s,a) = 191.59754191026423; score = -394.0; mean_score/100_episodes = -0.3; reward = -382.0; mean_reward/100_episodes = -30.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-20 15:42:36
Episode no = 7900; won: False; iter_time_steps = 203; Q(s,a) = 192.07438736366225; score = -282.0; mean_score/100_episodes = -68.98; reward = -240.0; mean_reward/100_episodes = -77.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.01, 2024-12-20 15:43:46
Episode no = 8000; won: False; iter_time_steps = 104; Q(s,a) = 192.86952594055512; score = 237.0; mean_score/100_episodes = -26.54; reward = 141.0; mean_reward/100_episodes = -48.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.02, 2024-12-20 15:44:56
