Episode no = 100; won: False; iter_time_steps = 62; Q(s,a) = -0.7413849034986374; score = -441.0; mean_score/100_episodes = -466.51; reward = -429.0; mean_reward/100_episodes = -457.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-12 13:31:01
Episode no = 1200; won: False; iter_time_steps = 99; Q(s,a) = -6.700986302200703; score = -398.0; mean_score/100_episodes = -445.84; reward = -378.0; mean_reward/100_episodes = -437.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-12 13:42:03
Episode no = 1300; won: False; iter_time_steps = 31; Q(s,a) = -7.106630951501345; score = -440.0; mean_score/100_episodes = -441.83; reward = -431.0; mean_reward/100_episodes = -435.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-12 13:43:08
Episode no = 1400; won: False; iter_time_steps = 20; Q(s,a) = -7.486509526934379; score = -409.0; mean_score/100_episodes = -452.05; reward = -398.0; mean_reward/100_episodes = -439.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-12 13:44:17
Episode no = 1500; won: False; iter_time_steps = 140; Q(s,a) = -7.832483718332283; score = -479.0; mean_score/100_episodes = -450.6; reward = -474.0; mean_reward/100_episodes = -442.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-12 13:45:07
Episode no = 1600; won: False; iter_time_steps = 97; Q(s,a) = -8.166305960750364; score = -456.0; mean_score/100_episodes = -447.05; reward = -442.0; mean_reward/100_episodes = -440.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-12 13:46:09
Episode no = 1700; won: False; iter_time_steps = 13; Q(s,a) = -8.495705771006405; score = -462.0; mean_score/100_episodes = -454.7; reward = -457.0; mean_reward/100_episodes = -444.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-12 13:46:58
Episode no = 1800; won: False; iter_time_steps = 87; Q(s,a) = -8.809320786801118; score = -426.0; mean_score/100_episodes = -445.39; reward = -410.0; mean_reward/100_episodes = -436.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-12 13:47:57
Episode no = 1900; won: False; iter_time_steps = 69; Q(s,a) = -9.109719888292977; score = -398.0; mean_score/100_episodes = -450.93; reward = -381.0; mean_reward/100_episodes = -445.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-12 13:48:59
Episode no = 2000; won: False; iter_time_steps = 143; Q(s,a) = -9.398814918380591; score = -492.0; mean_score/100_episodes = -441.95; reward = -477.0; mean_reward/100_episodes = -440.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-12 13:50:09
Episode no = 2100; won: False; iter_time_steps = 48; Q(s,a) = -9.676687338937366; score = -467.0; mean_score/100_episodes = -448.73; reward = -448.0; mean_reward/100_episodes = -441.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-12 13:51:02
Episode no = 2200; won: False; iter_time_steps = 128; Q(s,a) = -9.927719582327304; score = -397.0; mean_score/100_episodes = -436.92; reward = -374.0; mean_reward/100_episodes = -431.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-12 13:52:11
Episode no = 2300; won: False; iter_time_steps = 223; Q(s,a) = -10.158761570449899; score = -512.0; mean_score/100_episodes = -445.85; reward = -491.0; mean_reward/100_episodes = -440.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-12 13:53:02
Episode no = 2400; won: False; iter_time_steps = 87; Q(s,a) = -10.407482756037652; score = -436.0; mean_score/100_episodes = -432.97; reward = -432.0; mean_reward/100_episodes = -429.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-12 13:54:14
Episode no = 2500; won: False; iter_time_steps = 44; Q(s,a) = -10.625287841795089; score = -503.0; mean_score/100_episodes = -450.96; reward = -499.0; mean_reward/100_episodes = -443.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-12 13:55:05
Episode no = 2600; won: False; iter_time_steps = 159; Q(s,a) = -10.83710320368469; score = -488.0; mean_score/100_episodes = -445.49; reward = -471.0; mean_reward/100_episodes = -438.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-12 13:56:08
Episode no = 2700; won: False; iter_time_steps = 23; Q(s,a) = -11.035588792581287; score = -472.0; mean_score/100_episodes = -441.85; reward = -467.0; mean_reward/100_episodes = -437.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-12 13:57:14
Episode no = 2800; won: False; iter_time_steps = 67; Q(s,a) = -11.243440620708533; score = -516.0; mean_score/100_episodes = -448.92; reward = -511.0; mean_reward/100_episodes = -440.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-12 13:58:16
Episode no = 2900; won: False; iter_time_steps = 59; Q(s,a) = -11.43544395762158; score = -538.0; mean_score/100_episodes = -439.31; reward = -536.0; mean_reward/100_episodes = -436.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-12 13:59:18
Episode no = 3000; won: False; iter_time_steps = 194; Q(s,a) = -11.637228369148941; score = -493.0; mean_score/100_episodes = -453.34; reward = -473.0; mean_reward/100_episodes = -445.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-12 14:00:32
Episode no = 3100; won: False; iter_time_steps = 37; Q(s,a) = -11.830388164100922; score = -466.0; mean_score/100_episodes = -450.06; reward = -470.0; mean_reward/100_episodes = -438.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-12 14:01:29
Episode no = 3200; won: False; iter_time_steps = 77; Q(s,a) = -12.003579376218195; score = -416.0; mean_score/100_episodes = -449.0; reward = -400.0; mean_reward/100_episodes = -441.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-12 14:02:23
Episode no = 3300; won: False; iter_time_steps = 128; Q(s,a) = -12.177717629043807; score = -357.0; mean_score/100_episodes = -447.81; reward = -330.0; mean_reward/100_episodes = -438.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-12 14:03:22
Episode no = 3400; won: False; iter_time_steps = 50; Q(s,a) = -12.333500235940964; score = -479.0; mean_score/100_episodes = -444.49; reward = -472.0; mean_reward/100_episodes = -433.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-12 14:04:23
Episode no = 3500; won: False; iter_time_steps = 311; Q(s,a) = -12.48962971712355; score = -330.0; mean_score/100_episodes = -452.28; reward = -451.0; mean_reward/100_episodes = -445.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-12 14:05:31
Episode no = 3600; won: False; iter_time_steps = 53; Q(s,a) = -12.648130033732933; score = -402.0; mean_score/100_episodes = -440.9; reward = -387.0; mean_reward/100_episodes = -431.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-12 14:06:37
Episode no = 3700; won: False; iter_time_steps = 128; Q(s,a) = -12.797333404573052; score = -467.0; mean_score/100_episodes = -441.69; reward = -451.0; mean_reward/100_episodes = -437.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-12 14:07:36
Episode no = 3800; won: False; iter_time_steps = 114; Q(s,a) = -12.927458317397928; score = -263.0; mean_score/100_episodes = -438.78; reward = -397.0; mean_reward/100_episodes = -427.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-12 14:08:41
Episode no = 3900; won: False; iter_time_steps = 95; Q(s,a) = -13.04729023278307; score = -514.0; mean_score/100_episodes = -442.61; reward = -506.0; mean_reward/100_episodes = -436.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-12 14:09:41
Episode no = 4000; won: False; iter_time_steps = 17; Q(s,a) = -13.140940623741823; score = -426.0; mean_score/100_episodes = -446.95; reward = -406.0; mean_reward/100_episodes = -438.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-12 14:10:38
Episode no = 4100; won: False; iter_time_steps = 81; Q(s,a) = -13.286458702409881; score = -470.0; mean_score/100_episodes = -451.33; reward = -459.0; mean_reward/100_episodes = -444.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-12 14:11:37
Episode no = 4200; won: False; iter_time_steps = 122; Q(s,a) = -13.416259618484755; score = -401.0; mean_score/100_episodes = -454.66; reward = -379.0; mean_reward/100_episodes = -446.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-12 14:12:46
Episode no = 4300; won: False; iter_time_steps = 75; Q(s,a) = -13.52483819426486; score = -374.0; mean_score/100_episodes = -449.17; reward = -354.0; mean_reward/100_episodes = -440.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-12 14:13:51
Episode no = 4400; won: False; iter_time_steps = 99; Q(s,a) = -13.633023360207767; score = -428.0; mean_score/100_episodes = -453.66; reward = -411.0; mean_reward/100_episodes = -444.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-12 14:14:53
Episode no = 4500; won: False; iter_time_steps = 18; Q(s,a) = -13.758281918002805; score = -447.0; mean_score/100_episodes = -456.3; reward = -440.0; mean_reward/100_episodes = -445.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-12 14:15:46
Episode no = 4600; won: False; iter_time_steps = 160; Q(s,a) = -13.852593348393167; score = -479.0; mean_score/100_episodes = -447.95; reward = -461.0; mean_reward/100_episodes = -438.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-12 14:16:44
Episode no = 4700; won: False; iter_time_steps = 30; Q(s,a) = -13.962376618995375; score = -499.0; mean_score/100_episodes = -442.11; reward = -496.0; mean_reward/100_episodes = -435.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-12 14:17:46
Episode no = 4800; won: False; iter_time_steps = 43; Q(s,a) = -14.051015739550976; score = -402.0; mean_score/100_episodes = -457.91; reward = -388.0; mean_reward/100_episodes = -449.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-12 14:18:43
Episode no = 4900; won: False; iter_time_steps = 113; Q(s,a) = -14.136507222721177; score = -422.0; mean_score/100_episodes = -455.45; reward = -403.0; mean_reward/100_episodes = -444.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-12 14:19:45
Episode no = 5000; won: False; iter_time_steps = 83; Q(s,a) = -14.230920743065894; score = -512.0; mean_score/100_episodes = -450.13; reward = -505.0; mean_reward/100_episodes = -442.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-12 14:20:45
Episode no = 5100; won: False; iter_time_steps = 44; Q(s,a) = -14.306385847403437; score = -363.0; mean_score/100_episodes = -456.08; reward = -345.0; mean_reward/100_episodes = -447.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-12 14:22:04
Episode no = 5200; won: False; iter_time_steps = 24; Q(s,a) = -14.396345493163185; score = -443.0; mean_score/100_episodes = -463.2; reward = -435.0; mean_reward/100_episodes = -455.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-12 14:23:13
Episode no = 5300; won: False; iter_time_steps = 111; Q(s,a) = -14.494260633174129; score = -430.0; mean_score/100_episodes = -450.03; reward = -412.0; mean_reward/100_episodes = -439.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-12 14:24:21
Episode no = 5400; won: False; iter_time_steps = 93; Q(s,a) = -14.573546555232483; score = -442.0; mean_score/100_episodes = -463.47; reward = -427.0; mean_reward/100_episodes = -456.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-12 14:25:17
Episode no = 5500; won: False; iter_time_steps = 94; Q(s,a) = -14.659639308354983; score = -463.0; mean_score/100_episodes = -459.45; reward = -450.0; mean_reward/100_episodes = -448.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-12 14:26:29
Episode no = 5600; won: False; iter_time_steps = 19; Q(s,a) = -14.734316241605349; score = -478.0; mean_score/100_episodes = -462.77; reward = -463.0; mean_reward/100_episodes = -451.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-12 14:27:39
Episode no = 5700; won: False; iter_time_steps = 41; Q(s,a) = -14.829885232522635; score = -490.0; mean_score/100_episodes = -465.66; reward = -485.0; mean_reward/100_episodes = -459.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-12 14:28:42
Episode no = 5800; won: False; iter_time_steps = 19; Q(s,a) = -14.920265738207469; score = -428.0; mean_score/100_episodes = -471.08; reward = -419.0; mean_reward/100_episodes = -463.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-12 14:29:47
Episode no = 5900; won: False; iter_time_steps = 101; Q(s,a) = -15.003526244138156; score = -460.0; mean_score/100_episodes = -467.71; reward = -457.0; mean_reward/100_episodes = -460.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-12 14:30:54
Episode no = 6000; won: False; iter_time_steps = 158; Q(s,a) = -15.080854637041295; score = -497.0; mean_score/100_episodes = -469.56; reward = -492.0; mean_reward/100_episodes = -460.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-12 14:32:07
Episode no = 6100; won: False; iter_time_steps = 94; Q(s,a) = -15.151150015498384; score = -553.0; mean_score/100_episodes = -471.33; reward = -549.0; mean_reward/100_episodes = -462.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-12 14:33:13
Episode no = 6200; won: False; iter_time_steps = 93; Q(s,a) = -15.241566624163372; score = -562.0; mean_score/100_episodes = -468.55; reward = -559.0; mean_reward/100_episodes = -460.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-12 14:34:20
Episode no = 6300; won: False; iter_time_steps = 118; Q(s,a) = -15.3141385616019; score = -477.0; mean_score/100_episodes = -469.27; reward = -463.0; mean_reward/100_episodes = -459.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-12 14:35:33
Episode no = 6400; won: False; iter_time_steps = 60; Q(s,a) = -15.408691046537538; score = -479.0; mean_score/100_episodes = -471.1; reward = -471.0; mean_reward/100_episodes = -461.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-12 14:36:45
Episode no = 6500; won: False; iter_time_steps = 65; Q(s,a) = -15.47675457168015; score = -474.0; mean_score/100_episodes = -476.24; reward = -465.0; mean_reward/100_episodes = -468.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-12 14:37:41
Episode no = 6600; won: False; iter_time_steps = 129; Q(s,a) = -15.547554468170194; score = -438.0; mean_score/100_episodes = -477.65; reward = -419.0; mean_reward/100_episodes = -469.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-12 14:38:45
Episode no = 6700; won: False; iter_time_steps = 57; Q(s,a) = -15.622288143872732; score = -516.0; mean_score/100_episodes = -484.3; reward = -512.0; mean_reward/100_episodes = -475.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-12 14:40:02
Episode no = 6800; won: False; iter_time_steps = 42; Q(s,a) = -15.696948541193196; score = -501.0; mean_score/100_episodes = -488.12; reward = -497.0; mean_reward/100_episodes = -481.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:40:57
Episode no = 6900; won: False; iter_time_steps = 27; Q(s,a) = -15.766665668180494; score = -486.0; mean_score/100_episodes = -473.64; reward = -482.0; mean_reward/100_episodes = -465.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:42:00
Episode no = 7000; won: False; iter_time_steps = 46; Q(s,a) = -15.82333792324581; score = -505.0; mean_score/100_episodes = -475.3; reward = -501.0; mean_reward/100_episodes = -467.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:42:58
Episode no = 7100; won: False; iter_time_steps = 58; Q(s,a) = -15.897804171550536; score = -477.0; mean_score/100_episodes = -486.39; reward = -480.0; mean_reward/100_episodes = -479.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:44:03
Episode no = 7200; won: False; iter_time_steps = 52; Q(s,a) = -15.966289254604359; score = -441.0; mean_score/100_episodes = -480.92; reward = -430.0; mean_reward/100_episodes = -472.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:45:02
Episode no = 7300; won: False; iter_time_steps = 107; Q(s,a) = -16.024398861272985; score = -386.0; mean_score/100_episodes = -478.31; reward = -364.0; mean_reward/100_episodes = -471.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:46:11
Episode no = 7400; won: False; iter_time_steps = 38; Q(s,a) = -16.07162729502553; score = -487.0; mean_score/100_episodes = -486.32; reward = -482.0; mean_reward/100_episodes = -477.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:47:25
Episode no = 7500; won: False; iter_time_steps = 112; Q(s,a) = -16.13424330881599; score = -411.0; mean_score/100_episodes = -491.65; reward = -391.0; mean_reward/100_episodes = -482.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:48:47
Episode no = 7600; won: False; iter_time_steps = 56; Q(s,a) = -16.186300829218784; score = -425.0; mean_score/100_episodes = -477.53; reward = -423.0; mean_reward/100_episodes = -471.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:49:52
Episode no = 7700; won: False; iter_time_steps = 52; Q(s,a) = -16.244616879851787; score = -511.0; mean_score/100_episodes = -486.33; reward = -507.0; mean_reward/100_episodes = -478.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:50:57
Episode no = 7800; won: False; iter_time_steps = 147; Q(s,a) = -16.29912066008159; score = -596.0; mean_score/100_episodes = -481.32; reward = -591.0; mean_reward/100_episodes = -478.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:52:02
Episode no = 7900; won: False; iter_time_steps = 67; Q(s,a) = -16.352301880096736; score = -486.0; mean_score/100_episodes = -485.36; reward = -478.0; mean_reward/100_episodes = -480.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:53:06
Episode no = 8000; won: False; iter_time_steps = 113; Q(s,a) = -16.42084688372099; score = -422.0; mean_score/100_episodes = -476.84; reward = -403.0; mean_reward/100_episodes = -467.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-12 14:54:20
