Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = -0.14954057989401956; score = -509.0; mean_score/100_episodes = -509.04; reward = -509.0; mean_reward/100_episodes = -508.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 14:19:41
Episode no = 1200; won: False; iter_time_steps = 23; Q(s,a) = -1.4688534498356105; score = -522.0; mean_score/100_episodes = -508.62; reward = -522.0; mean_reward/100_episodes = -508.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-10 14:20:53
Episode no = 1300; won: False; iter_time_steps = 22; Q(s,a) = -1.5153121501598081; score = -521.0; mean_score/100_episodes = -508.96; reward = -521.0; mean_reward/100_episodes = -508.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-10 14:21:00
Episode no = 1400; won: False; iter_time_steps = 13; Q(s,a) = -1.5723887530474958; score = -512.0; mean_score/100_episodes = -509.69; reward = -512.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-10 14:21:07
Episode no = 1500; won: False; iter_time_steps = 9; Q(s,a) = -1.6205812117127245; score = -508.0; mean_score/100_episodes = -509.38; reward = -508.0; mean_reward/100_episodes = -509.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-10 14:21:13
Episode no = 1600; won: False; iter_time_steps = 9; Q(s,a) = -1.6725490440221065; score = -508.0; mean_score/100_episodes = -509.65; reward = -508.0; mean_reward/100_episodes = -509.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-10 14:21:21
Episode no = 1700; won: False; iter_time_steps = 9; Q(s,a) = -1.7144611786931945; score = -508.0; mean_score/100_episodes = -508.68; reward = -508.0; mean_reward/100_episodes = -508.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-10 14:21:27
Episode no = 1800; won: False; iter_time_steps = 16; Q(s,a) = -1.7630750397988184; score = -515.0; mean_score/100_episodes = -509.65; reward = -515.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-10 14:21:34
Episode no = 1900; won: False; iter_time_steps = 13; Q(s,a) = -1.8135082046873745; score = -512.0; mean_score/100_episodes = -509.6; reward = -512.0; mean_reward/100_episodes = -509.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-10 14:21:41
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = -1.8582422105261764; score = -507.0; mean_score/100_episodes = -509.66; reward = -507.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-10 14:21:48
Episode no = 2100; won: False; iter_time_steps = 8; Q(s,a) = -1.9061630813249448; score = -507.0; mean_score/100_episodes = -510.57; reward = -507.0; mean_reward/100_episodes = -510.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-10 14:21:55
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = -1.9466376009059891; score = -509.0; mean_score/100_episodes = -509.45; reward = -509.0; mean_reward/100_episodes = -509.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-10 14:22:02
Episode no = 2300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.3; reward = -506.0; mean_reward/100_episodes = -510.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-10 14:22:09
Episode no = 2400; won: False; iter_time_steps = 26; Q(s,a) = -2.048522100953094; score = -525.0; mean_score/100_episodes = -510.31; reward = -525.0; mean_reward/100_episodes = -510.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-10 14:22:17
Episode no = 2500; won: False; iter_time_steps = 10; Q(s,a) = -2.0918387856627043; score = -509.0; mean_score/100_episodes = -509.78; reward = -509.0; mean_reward/100_episodes = -509.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-10 14:22:24
Episode no = 2600; won: False; iter_time_steps = 10; Q(s,a) = -2.14035023098831; score = -509.0; mean_score/100_episodes = -509.97; reward = -509.0; mean_reward/100_episodes = -509.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-10 14:22:32
Episode no = 2700; won: False; iter_time_steps = 26; Q(s,a) = -2.1868753071247924; score = -525.0; mean_score/100_episodes = -510.13; reward = -525.0; mean_reward/100_episodes = -510.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-10 14:22:39
Episode no = 2800; won: False; iter_time_steps = 12; Q(s,a) = -2.2273229577235565; score = -511.0; mean_score/100_episodes = -510.06; reward = -511.0; mean_reward/100_episodes = -509.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-10 14:22:47
Episode no = 2900; won: False; iter_time_steps = 14; Q(s,a) = -2.2630536825718313; score = -503.0; mean_score/100_episodes = -509.42; reward = -502.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-10 14:22:54
Episode no = 3000; won: False; iter_time_steps = 8; Q(s,a) = -2.301893902622126; score = -507.0; mean_score/100_episodes = -508.62; reward = -507.0; mean_reward/100_episodes = -508.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-10 14:23:01
Episode no = 3100; won: False; iter_time_steps = 7; Q(s,a) = -2.397996052146267; score = -506.0; mean_score/100_episodes = -509.33; reward = -506.0; mean_reward/100_episodes = -508.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-10 14:23:08
Episode no = 3200; won: False; iter_time_steps = 13; Q(s,a) = -2.386312432321984; score = -512.0; mean_score/100_episodes = -509.48; reward = -512.0; mean_reward/100_episodes = -509.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-10 14:23:15
Episode no = 3300; won: False; iter_time_steps = 10; Q(s,a) = -2.4367577999654153; score = -509.0; mean_score/100_episodes = -507.48; reward = -509.0; mean_reward/100_episodes = -507.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-10 14:23:22
Episode no = 3400; won: False; iter_time_steps = 7; Q(s,a) = -2.5119036027362314; score = -506.0; mean_score/100_episodes = -510.12; reward = -506.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-10 14:23:29
Episode no = 3500; won: False; iter_time_steps = 8; Q(s,a) = -2.495144745876157; score = -507.0; mean_score/100_episodes = -508.97; reward = -507.0; mean_reward/100_episodes = -508.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-10 14:23:36
Episode no = 3600; won: False; iter_time_steps = 13; Q(s,a) = -2.52968008333644; score = -512.0; mean_score/100_episodes = -508.46; reward = -512.0; mean_reward/100_episodes = -507.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-10 14:23:43
Episode no = 3700; won: False; iter_time_steps = 7; Q(s,a) = -2.5971321141684243; score = -506.0; mean_score/100_episodes = -511.73; reward = -506.0; mean_reward/100_episodes = -511.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-10 14:23:52
Episode no = 3800; won: False; iter_time_steps = 7; Q(s,a) = -2.6033263798870587; score = -506.0; mean_score/100_episodes = -509.94; reward = -506.0; mean_reward/100_episodes = -509.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-10 14:23:59
Episode no = 3900; won: False; iter_time_steps = 9; Q(s,a) = -2.6362485408506133; score = -508.0; mean_score/100_episodes = -510.55; reward = -508.0; mean_reward/100_episodes = -510.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-10 14:24:07
Episode no = 4000; won: False; iter_time_steps = 6; Q(s,a) = -2.7909533181653083; score = -505.0; mean_score/100_episodes = -509.97; reward = -505.0; mean_reward/100_episodes = -509.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-10 14:24:15
Episode no = 4100; won: False; iter_time_steps = 13; Q(s,a) = -2.816204129780394; score = -512.0; mean_score/100_episodes = -508.05; reward = -512.0; mean_reward/100_episodes = -507.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-10 14:24:23
Episode no = 4200; won: False; iter_time_steps = 10; Q(s,a) = -2.854079773294342; score = -509.0; mean_score/100_episodes = -508.41; reward = -509.0; mean_reward/100_episodes = -508.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-10 14:24:30
Episode no = 4300; won: False; iter_time_steps = 13; Q(s,a) = -2.8903905696966303; score = -512.0; mean_score/100_episodes = -510.49; reward = -512.0; mean_reward/100_episodes = -510.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-10 14:24:37
Episode no = 4400; won: False; iter_time_steps = 14; Q(s,a) = -2.9315038552877706; score = -513.0; mean_score/100_episodes = -510.19; reward = -513.0; mean_reward/100_episodes = -510.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-10 14:24:45
Episode no = 4500; won: False; iter_time_steps = 15; Q(s,a) = -3.001861597903904; score = -504.0; mean_score/100_episodes = -510.69; reward = -492.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-10 14:24:54
Episode no = 4600; won: False; iter_time_steps = 26; Q(s,a) = -3.022252981943688; score = -525.0; mean_score/100_episodes = -510.16; reward = -525.0; mean_reward/100_episodes = -510.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-10 14:25:01
Episode no = 4700; won: False; iter_time_steps = 21; Q(s,a) = -3.039365325806578; score = -520.0; mean_score/100_episodes = -509.82; reward = -520.0; mean_reward/100_episodes = -509.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-12-10 14:25:09
Episode no = 4800; won: False; iter_time_steps = 8; Q(s,a) = -3.0896483456190555; score = -507.0; mean_score/100_episodes = -510.7; reward = -507.0; mean_reward/100_episodes = -510.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.36, win percentage = 0.0, 2024-12-10 14:25:18
Episode no = 4900; won: False; iter_time_steps = 8; Q(s,a) = -3.09144034305034; score = -507.0; mean_score/100_episodes = -510.17; reward = -507.0; mean_reward/100_episodes = -510.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-12-10 14:25:26
Episode no = 5000; won: False; iter_time_steps = 31; Q(s,a) = -3.1296294520869457; score = -530.0; mean_score/100_episodes = -509.21; reward = -530.0; mean_reward/100_episodes = -509.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-12-10 14:25:34
Episode no = 5100; won: False; iter_time_steps = 6; Q(s,a) = -3.2371468063875457; score = -505.0; mean_score/100_episodes = -509.28; reward = -505.0; mean_reward/100_episodes = -508.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-12-10 14:25:42
Episode no = 5200; won: False; iter_time_steps = 6; Q(s,a) = -3.2744430001745037; score = -505.0; mean_score/100_episodes = -509.4; reward = -505.0; mean_reward/100_episodes = -509.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-12-10 14:25:50
Episode no = 5300; won: False; iter_time_steps = 10; Q(s,a) = -3.258686241867568; score = -509.0; mean_score/100_episodes = -509.42; reward = -509.0; mean_reward/100_episodes = -509.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-12-10 14:25:58
Episode no = 5400; won: False; iter_time_steps = 8; Q(s,a) = -3.268984151097323; score = -507.0; mean_score/100_episodes = -509.11; reward = -507.0; mean_reward/100_episodes = -508.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.28, win percentage = 0.0, 2024-12-10 14:26:06
Episode no = 5500; won: False; iter_time_steps = 9; Q(s,a) = -3.291354964587374; score = -508.0; mean_score/100_episodes = -508.67; reward = -508.0; mean_reward/100_episodes = -508.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-12-10 14:26:14
Episode no = 5600; won: False; iter_time_steps = 9; Q(s,a) = -3.365320151026379; score = -508.0; mean_score/100_episodes = -509.11; reward = -508.0; mean_reward/100_episodes = -508.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-12-10 14:26:22
Episode no = 5700; won: False; iter_time_steps = 7; Q(s,a) = -3.383214827907054; score = -506.0; mean_score/100_episodes = -508.56; reward = -506.0; mean_reward/100_episodes = -508.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.24, win percentage = 0.0, 2024-12-10 14:26:30
Episode no = 5800; won: False; iter_time_steps = 9; Q(s,a) = -3.0573351379708966; score = -508.0; mean_score/100_episodes = -508.49; reward = -508.0; mean_reward/100_episodes = -508.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-12-10 14:26:37
Episode no = 5900; won: False; iter_time_steps = 9; Q(s,a) = -3.4303619532302223; score = -508.0; mean_score/100_episodes = -508.41; reward = -508.0; mean_reward/100_episodes = -507.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.21333333333333337, win percentage = 0.0, 2024-12-10 14:26:46
Episode no = 6000; won: False; iter_time_steps = 13; Q(s,a) = -3.036275466907884; score = -512.0; mean_score/100_episodes = -507.38; reward = -512.0; mean_reward/100_episodes = -507.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.19999999999999996, win percentage = 0.0, 2024-12-10 14:26:54
Episode no = 6100; won: False; iter_time_steps = 8; Q(s,a) = -3.4687707922969926; score = -507.0; mean_score/100_episodes = -507.35; reward = -507.0; mean_reward/100_episodes = -507.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.18666666666666665, win percentage = 0.0, 2024-12-10 14:27:00
Episode no = 6200; won: False; iter_time_steps = 8; Q(s,a) = -3.487410248024744; score = -507.0; mean_score/100_episodes = -507.95; reward = -507.0; mean_reward/100_episodes = -507.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.17333333333333334, win percentage = 0.0, 2024-12-10 14:27:08
Episode no = 6300; won: False; iter_time_steps = 15; Q(s,a) = -3.485600393907814; score = -504.0; mean_score/100_episodes = -508.35; reward = -492.0; mean_reward/100_episodes = -507.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.16000000000000003, win percentage = 0.0, 2024-12-10 14:27:16
Episode no = 6400; won: False; iter_time_steps = 9; Q(s,a) = -3.498615157998393; score = -508.0; mean_score/100_episodes = -508.88; reward = -508.0; mean_reward/100_episodes = -508.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1466666666666666, win percentage = 0.0, 2024-12-10 14:27:24
Episode no = 6500; won: False; iter_time_steps = 16; Q(s,a) = -3.272215704032358; score = -505.0; mean_score/100_episodes = -507.77; reward = -515.0; mean_reward/100_episodes = -507.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1333333333333333, win percentage = 0.0, 2024-12-10 14:27:32
Episode no = 6600; won: False; iter_time_steps = 14; Q(s,a) = -3.1439602890778433; score = -503.0; mean_score/100_episodes = -507.97; reward = -502.0; mean_reward/100_episodes = -507.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.12, win percentage = 0.0, 2024-12-10 14:27:40
Episode no = 6700; won: False; iter_time_steps = 13; Q(s,a) = -3.1610660591524957; score = -512.0; mean_score/100_episodes = -507.77; reward = -512.0; mean_reward/100_episodes = -507.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.10666666666666669, win percentage = 0.0, 2024-12-10 14:27:47
Episode no = 6800; won: False; iter_time_steps = 8; Q(s,a) = -3.6033040198118833; score = -507.0; mean_score/100_episodes = -507.33; reward = -507.0; mean_reward/100_episodes = -506.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:27:55
Episode no = 6900; won: False; iter_time_steps = 19; Q(s,a) = -3.333164434782272; score = -508.0; mean_score/100_episodes = -506.62; reward = -507.0; mean_reward/100_episodes = -506.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:03
Episode no = 7000; won: False; iter_time_steps = 5; Q(s,a) = -3.354278103284554; score = -504.0; mean_score/100_episodes = -505.5; reward = -504.0; mean_reward/100_episodes = -505.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:10
Episode no = 7100; won: False; iter_time_steps = 18; Q(s,a) = -3.3941044848557222; score = -507.0; mean_score/100_episodes = -505.94; reward = -506.0; mean_reward/100_episodes = -505.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:18
Episode no = 7200; won: False; iter_time_steps = 16; Q(s,a) = -3.4172015819888895; score = -505.0; mean_score/100_episodes = -506.12; reward = -504.0; mean_reward/100_episodes = -505.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:26
Episode no = 7300; won: False; iter_time_steps = 6; Q(s,a) = -3.4504547544698365; score = -505.0; mean_score/100_episodes = -505.67; reward = -505.0; mean_reward/100_episodes = -505.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:33
Episode no = 7400; won: False; iter_time_steps = 6; Q(s,a) = -3.4842316441381374; score = -505.0; mean_score/100_episodes = -505.51; reward = -505.0; mean_reward/100_episodes = -504.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:40
Episode no = 7500; won: False; iter_time_steps = 7; Q(s,a) = -3.5147577893813415; score = -506.0; mean_score/100_episodes = -505.21; reward = -506.0; mean_reward/100_episodes = -504.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:47
Episode no = 7600; won: False; iter_time_steps = 19; Q(s,a) = -3.622317543400472; score = -508.0; mean_score/100_episodes = -505.74; reward = -507.0; mean_reward/100_episodes = -504.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:28:56
Episode no = 7700; won: False; iter_time_steps = 15; Q(s,a) = -3.5690280646070525; score = -504.0; mean_score/100_episodes = -505.8; reward = -503.0; mean_reward/100_episodes = -505.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:29:03
Episode no = 7800; won: False; iter_time_steps = 6; Q(s,a) = -3.6925141737002187; score = -505.0; mean_score/100_episodes = -505.72; reward = -505.0; mean_reward/100_episodes = -505.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:29:10
Episode no = 7900; won: False; iter_time_steps = 19; Q(s,a) = -3.6827663309599887; score = -508.0; mean_score/100_episodes = -505.92; reward = -507.0; mean_reward/100_episodes = -505.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:29:18
Episode no = 8000; won: False; iter_time_steps = 7; Q(s,a) = -3.698781314634986; score = -506.0; mean_score/100_episodes = -506.2; reward = -506.0; mean_reward/100_episodes = -505.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-10 14:29:25
