Episode no = 100; won: False; iter_time_steps = 9; Q(s,a) = -0.15167672727035353; score = -508.0; mean_score/100_episodes = -510.03; reward = -508.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-20 09:24:01
Episode no = 7000; won: False; iter_time_steps = 20; Q(s,a) = -18.31625020250985; score = -519.0; mean_score/100_episodes = -508.62; reward = -519.0; mean_reward/100_episodes = -508.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:31:59
Episode no = 7100; won: False; iter_time_steps = 9; Q(s,a) = -18.664052667052875; score = -508.0; mean_score/100_episodes = -510.28; reward = -508.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:32:07
Episode no = 7200; won: False; iter_time_steps = 15; Q(s,a) = -17.47920648382134; score = -504.0; mean_score/100_episodes = -508.01; reward = -503.0; mean_reward/100_episodes = -507.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:32:14
Episode no = 7300; won: False; iter_time_steps = 14; Q(s,a) = -17.59991700451497; score = -503.0; mean_score/100_episodes = -505.3; reward = -502.0; mean_reward/100_episodes = -504.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:32:21
Episode no = 7400; won: False; iter_time_steps = 8; Q(s,a) = -17.92896086904883; score = -507.0; mean_score/100_episodes = -506.56; reward = -507.0; mean_reward/100_episodes = -505.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:32:29
Episode no = 7500; won: False; iter_time_steps = 6; Q(s,a) = -17.742577393049398; score = -505.0; mean_score/100_episodes = -508.85; reward = -505.0; mean_reward/100_episodes = -508.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:32:36
Episode no = 7600; won: False; iter_time_steps = 9; Q(s,a) = -17.89831187929772; score = -508.0; mean_score/100_episodes = -509.3; reward = -508.0; mean_reward/100_episodes = -509.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:32:43
Episode no = 7700; won: False; iter_time_steps = 13; Q(s,a) = -18.17326438241198; score = -512.0; mean_score/100_episodes = -510.35; reward = -512.0; mean_reward/100_episodes = -509.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:32:52
Episode no = 7800; won: False; iter_time_steps = 9; Q(s,a) = -17.54955507339467; score = -508.0; mean_score/100_episodes = -509.75; reward = -508.0; mean_reward/100_episodes = -509.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:33:00
Episode no = 7900; won: False; iter_time_steps = 14; Q(s,a) = -17.518981646651746; score = -503.0; mean_score/100_episodes = -510.94; reward = -502.0; mean_reward/100_episodes = -510.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:33:08
Episode no = 8000; won: False; iter_time_steps = 9; Q(s,a) = -17.79274569460729; score = -508.0; mean_score/100_episodes = -510.21; reward = -508.0; mean_reward/100_episodes = -509.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:33:15
Episode no = 8100; won: False; iter_time_steps = 14; Q(s,a) = -16.340370324008838; score = -513.0; mean_score/100_episodes = -508.35; reward = -513.0; mean_reward/100_episodes = -507.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.1, win percentage = 0.0, 2024-12-20 09:33:22
